,n_reviews,size,comfort,quality,star_rating,product_code
126,1.0,50.0,100.0,83.33,3.0,DZ2946-100
127,201.0,39.0,92.0,45.16,4.8,DJ5423-300
128,0.0,,,,0.0,FZ3620-001
129,55.0,46.0,84.0,48.18,4.6,864349-302
130,,,,,,DX5051-400
131,351.0,39.0,91.0,44.19,4.6,942839-600
132,39.0,46.0,87.0,52.03,4.4,DV2917-401
133,,,,,,FQ7223-900
134,9.0,50.0,100.0,61.11,5.0,CW7586-100
135,,,,,,
136,15.0,50.0,75.0,52.78,4.6,FB9752-100
137,,,,,,DV3907-900
138,20.0,61.0,95.0,63.67,4.6,DQ5601-003
139,,,,,,FJ8893-900
140,37.0,,,,4.5,CZ5920-400
141,133.0,,,,4.4,DQ1470-002
142,,,,,,FJ2253-901
143,127.0,61.0,87.0,51.43,4.8,DR9631-801
144,,,,,,
145,2.0,50.0,100.0,83.33,5.0,DV3282-103
146,66.0,29.0,70.0,49.5,4.2,CW3406-004
147,26.0,52.0,88.0,69.74,4.7,DM1206-174
148,83.0,25.0,50.0,25.4,4.6,DC8753-100
149,,,,,,314352-998
150,21.0,61.0,90.0,75.5,4.2,CD4385-400
151,,,,,,CW7637-991
152,53.0,27.0,57.0,28.63,3.9,FJ9302-104
153,0.0,,,,0.0,A03938C-206
154,30.0,43.0,96.0,49.67,4.4,DR5540-102
155,,,,,,FD9782-900
156,233.0,53.0,83.0,47.77,4.5,DD9285-400
157,1.0,50.0,100.0,75.0,5.0,DO9456-100
158,275.0,48.0,87.0,46.33,4.8,CW3400-001
159,19.0,44.0,69.0,48.19,4.4,DQ7572-200
160,1.0,50.0,100.0,83.33,5.0,FQ8887-100
161,19.0,50.0,87.0,73.74,4.5,DJ9405-302
162,,,,,,DZ2653-900
163,13.0,,,,4.4,DV2228-300
164,239.0,38.0,92.0,44.45,4.4,DH0224-200
165,99.0,43.0,80.0,44.37,4.6,DO9327-102
166,442.0,41.0,97.0,46.45,4.7,BQ4632-002
167,,,,,,FB2383-900
168,,,,,,FB2391-900
169,8.0,,,,4.0,DV3285-300
170,400.0,33.0,73.0,36.0,4.4,DJ6257-004
171,1.0,100.0,100.0,100.0,4.0,168817C-102
172,479.0,56.0,92.0,49.54,4.7,CN9677-002
173,,,,,,FJ4036-900
174,10.0,44.0,100.0,71.33,4.9,DZ3407-800
175,192.0,47.0,94.0,48.91,4.8,DD9538-012
176,2.0,50.0,100.0,66.67,5.0,DX4219-400
177,,,,,,FJ8896-900
178,17.0,47.0,88.0,48.92,4.9,DC7695-102
179,267.0,45.0,84.0,46.37,4.3,FJ2975-001
180,72.0,40.0,85.0,46.76,4.3,DV2757-003
181,285.0,,,,4.6,DC2533-600
182,184.0,50.0,100.0,50.36,4.7,CZ5918-012
183,0.0,,,,0.0,FN7104-010
184,479.0,41.0,90.0,45.89,4.6,DD3024-101
185,0.0,,,,0.0,FB6877-100
186,2.0,25.0,50.0,58.33,4.0,DZ2906-600
187,30.0,47.0,77.0,43.56,4.2,DJ7383-800
188,0.0,,,,0.0,FD4849-106
189,19.0,,,,4.9,DJ6521-002
190,14.0,,50.0,50.0,3.8,DX7998-700
191,74.0,45.0,82.0,43.68,4.4,DM8974-004
192,42.0,43.0,80.0,57.67,4.6,DX2044-201
193,151.0,49.0,86.0,46.99,4.8,DM3494-105
194,161.0,47.0,87.0,45.29,4.5,CT1725-106
195,10.0,13.0,75.0,42.67,4.4,DX7999-100
196,,,,,,FJ8894-900
197,25.0,40.0,90.0,44.67,4.0,AO1523-500
198,50.0,42.0,89.0,53.67,4.7,DV5477-401
199,,,,,,FZ0814-900
200,16.0,50.0,94.0,81.33,4.9,FB9891-100
201,,,,,,DV2272-900
202,,,,,,DV3903-900
203,,,,,,FJ8895-900
204,,,,,,846440-998
205,4.0,17.0,67.0,36.33,4.5,DX2314-200
206,0.0,,,,0.0,FV0400-001
207,9.0,45.0,95.0,80.0,4.8,DZ3299-002
208,82.0,,,,4.6,DV7006-200
209,119.0,38.0,75.0,56.5,4.5,DD9291-600
210,9.0,50.0,100.0,57.41,5.0,166800C-001
211,31.0,47.0,89.0,49.63,4.7,FD6409-003
212,,,,,,FJ4036-900
213,22.0,55.0,93.0,66.0,4.6,DQ2904-002
214,17.0,47.0,88.0,48.92,4.9,DC7695-100
215,0.0,,,,0.0,DJ4471-121
216,0.0,,,,0.0,DV5472-001
217,29.0,47.0,72.0,69.55,4.5,DX4985-003
218,10.0,55.0,90.0,81.67,5.0,DV2957-001
219,1.0,,,,5.0,FN3435-148
220,4.0,,,,4.0,DR7880-001
221,15.0,37.0,63.0,35.56,4.2,DH9227-101
222,,,,,,FJ8890-905
223,93.0,47.0,72.0,47.55,4.3,DV7903-003
224,213.0,39.0,63.0,34.47,4.4,DD9283-011
225,,,,,,
226,18.0,50.0,100.0,51.85,4.2,CZ6559-110
227,4.0,,,,4.5,DV7409-100
228,6.0,34.0,75.0,64.11,4.5,FB9894-001
229,3.0,,,,4.0,DX4400-005
230,0.0,,,,0.0,FD0090-101
231,4.0,25.0,75.0,50.0,4.5,CI2964-610
232,,,,,,
233,9.0,50.0,90.0,57.78,4.6,DR6192-104
234,118.0,57.0,72.0,44.69,4.7,432997-111
235,12.0,37.0,64.0,50.33,3.6,DV5468-300
236,359.0,47.0,92.0,46.61,4.6,DR9831-001
237,55.0,50.0,100.0,51.82,4.8,DJ6945-200
238,74.0,63.0,88.0,75.5,4.9,DC1975-001
239,12.0,65.0,95.0,81.11,4.7,FB2863-600
240,3.0,50.0,84.0,67.0,5.0,DZ4874-300
241,32.0,25.0,82.0,40.87,4.4,CV5708-010
242,55.0,31.0,83.0,57.0,4.2,CZ3668-017
243,120.0,,,,4.6,CU4874-600
244,27.0,,,,4.5,560251F-102
245,,,,,,DO7436-900
246,26.0,34.0,77.0,54.95,4.5,FQ8706-300
247,3.0,50.0,84.0,78.0,5.0,DZ6763-102
248,1.0,50.0,100.0,83.33,5.0,FD0268-100
249,2.0,50.0,50.0,50.0,4.0,DR2733-400
250,62.0,30.0,90.0,45.91,4.6,DM1124-002
251,,,,,,DZ3638-900
252,0.0,,,,0.0,FV3526-600
253,54.0,54.0,83.0,48.75,4.6,DC3590-105
254,0.0,,,,0.0,FQ3391-010
255,7.0,,,,4.3,DR2756-400
256,174.0,40.0,93.0,44.91,4.5,DC0496-100
257,0.0,,,,0.0,DV1163-100
258,,,,,,FJ4036-900
259,20.0,50.0,75.0,45.0,4.5,CU4152-101
260,12.0,46.0,88.0,66.89,4.3,DH7546-101
261,564.0,39.0,72.0,55.5,4.6,CZ4099-400
262,293.0,28.0,77.0,37.05,4.2,CQ9545-556
263,18.0,59.0,64.0,44.7,4.1,DO8863-660
264,16.0,45.0,75.0,60.0,3.8,DM8019-005
265,97.0,55.0,75.0,43.68,4.7,CU3959-004
266,17.0,50.0,100.0,55.88,4.8,DJ9976-100
267,140.0,38.0,94.0,45.43,4.4,DD9294-104
268,139.0,66.0,91.0,78.5,4.5,DM9073-700
269,145.0,48.0,74.0,42.97,4.4,DH1537-002
270,1.0,,,,5.0,DR5377-001
271,19.0,42.0,59.0,50.5,4.5,CT0079-101
272,,,,,,FZ4655-900
273,,,,,,FJ8902-900
274,4.0,63.0,63.0,50.33,3.0,DZ2927-400
275,6.0,63.0,63.0,58.67,3.8,DR6965-300
276,3.0,34.0,50.0,61.33,3.7,FD1643-300
277,48.0,56.0,80.0,47.42,4.4,CZ0931-003
278,1.0,50.0,50.0,66.67,5.0,FV1699-801
279,9.0,50.0,72.0,74.0,4.8,FZ5758-004
280,,,,,,
281,29.0,,,,4.7,CZ5917-600
282,37.0,,,,4.6,DC8749-101
283,2.0,50.0,100.0,66.67,4.5,AO2416-101
284,0.0,,,,0.0,DM8199-064
285,52.0,68.0,96.0,56.59,4.7,DA2725-301
286,1.0,50.0,100.0,83.33,5.0,FN7400-140
287,17.0,67.0,100.0,83.5,5.0,M9622-410
288,4.0,50.0,100.0,75.0,5.0,DX6915-300
289,,,,,,FJ2253-901
290,7.0,50.0,50.0,38.1,4.3,DZ2795-001
291,20.0,41.0,91.0,45.67,3.5,849560-001
292,7.0,50.0,50.0,38.1,4.3,DZ2795-700
293,14.0,42.0,79.0,49.86,4.3,DR0126-600
294,13.0,46.0,77.0,58.95,4.1,CW3203-600
295,3.0,34.0,67.0,67.0,5.0,FN5714-001
296,2.0,,75.0,75.0,4.0,DD1901-600
297,159.0,45.0,79.0,44.48,4.4,DD9535-005
298,1.0,100.0,100.0,100.0,5.0,FD2652-002
299,37.0,49.0,96.0,55.54,4.6,FN0784-004
300,0.0,,,,0.0,DZ5211-100
301,9.0,13.0,25.0,19.0,3.7,DH3395-102
302,,,,,,FN0569-900
303,4.0,50.0,100.0,75.0,4.3,DQ1979-500
304,265.0,42.0,68.0,55.0,4.5,AO3622-002
305,,,,,,FB2390-900
306,59.0,48.0,97.0,68.11,4.7,DJ9431-001
307,402.0,34.0,83.0,39.08,4.7,AA0286-106
308,,,,,,FJ8900-900
309,3.0,50.0,84.0,66.89,4.0,DX5655-500
310,9.0,50.0,88.0,75.63,4.9,FB1362-100
311,,,,,,FN0569-900
312,113.0,40.0,81.0,42.1,4.6,DJ6015-603
313,,,,,,FJ8900-900
314,16.0,50.0,50.0,35.42,4.4,DV3279-102
315,12.0,50.0,84.0,69.67,4.9,DV7408-100
316,0.0,,,,0.0,DR6851-100
317,83.0,43.0,64.0,36.47,4.3,DQ4124-105
318,,,,,,DX5048-600
319,0.0,,,,0.0,FB5059-100
320,0.0,,,,0.0,DR1020-400
321,,,,,,FN0569-900
322,,,,,,FN0569-900
323,,,,,,
324,,,,,,FB5057-900
325,583.0,68.0,74.0,47.68,4.7,CD5434-001
326,,,,,,FN0569-900
327,,,,,,CU1722-960
328,808.0,50.0,89.0,46.42,4.7,CW7358-601
329,,,,,,
330,16.0,75.0,100.0,87.5,4.7,DC3730-001
331,1.0,,100.0,100.0,5.0,DX9013-008
332,3.0,34.0,100.0,78.0,5.0,FJ8915-400
333,0.0,,,,0.0,A05685C-650
334,3.0,,,,4.7,DZ5205-500
335,24.0,46.0,92.0,66.83,4.8,DV5141-017
336,1.0,,,,3.0,FJ4576-100
337,109.0,49.0,86.0,61.82,4.9,FD6812-400
338,86.0,50.0,100.0,75.0,4.7,DC8990-002
339,28.0,50.0,92.0,54.48,5.0,DD9625-400
340,0.0,,,,0.0,FZ6829-002
341,13.0,68.0,82.0,62.82,4.5,DX6405-600
342,,,,,,
343,119.0,59.0,83.0,49.85,4.6,DX5883-100
344,25.0,50.0,100.0,52.67,4.9,749867-105
345,67.0,45.0,79.0,43.82,4.6,DV7415-600
346,39.0,,,,4.6,560250F-001
347,3.0,50.0,100.0,61.11,3.0,DM0886-100
348,15.0,50.0,100.0,75.0,4.8,DH5359-100
349,121.0,46.0,79.0,43.32,4.8,CZ2959-402
350,,,,,,HF0004-900
351,,,,,,FB2392-900
352,167.0,48.0,93.0,48.6,4.5,DA8570-600
353,,,,,,DZ3621-900
354,23.0,50.0,100.0,51.45,4.9,DC8725-101
355,,,,,,FB2390-900
356,15.0,,,,5.0,FB9019-700
357,12.0,28.0,80.0,54.0,4.4,AO0808-002
358,8.0,59.0,84.0,71.5,4.6,DV3809-100
359,,,,,,HF0004-900
360,74.0,52.0,92.0,48.45,4.7,DC9093-001
361,27.0,34.0,84.0,40.57,4.3,DV2019-101
362,57.0,29.0,75.0,53.38,4.5,DZ7533-002
363,3.0,50.0,67.0,72.33,4.7,FB2269-103
364,0.0,,,,0.0,DV2220-100
365,,,,,,FQ7223-905
366,0.0,,,,0.0,FD8357-100
367,25.0,,,,4.7,DV0496-006
368,110.0,45.0,73.0,40.24,4.6,DH7505-101
369,8.0,50.0,50.0,37.5,5.0,DR2741-100
370,7.0,75.0,75.0,75.0,4.9,M9697-410
371,11.0,40.0,80.0,52.12,4.0,CI2955-160
372,0.0,,,,0.0,FV6149-001
373,,,,,,FN0569-900
374,0.0,,,,0.0,FV1894-800
375,0.0,,,,0.0,FN0564-001
376,30.0,50.0,100.0,51.11,4.8,325256-401
377,55.0,46.0,84.0,48.18,4.6,864349-204
378,,,,,,
379,49.0,52.0,100.0,69.03,4.7,DZ3356-500
380,22.0,50.0,100.0,75.0,4.5,685135-004
381,,,,,,FJ4036-900
382,0.0,,,,0.0,394053-101
383,135.0,53.0,91.0,48.99,4.8,DJ6149-400
384,67.0,54.0,81.0,46.49,4.6,DR2948-600
385,,,,,,FJ8901-900
386,6.0,34.0,75.0,64.11,4.5,FB9894-100
387,411.0,,,,4.8,DC0774-102
388,18.0,20.0,83.0,39.89,4.4,537345-001
389,6.0,50.0,75.0,62.5,3.7,AJ8119-002
390,1.0,50.0,100.0,83.33,5.0,FQ9395-600
391,291.0,38.0,95.0,45.71,4.7,BQ4153-100
392,0.0,,,,0.0,FV6147-001
393,9.0,43.0,93.0,67.56,4.3,FN7481-100
394,5.0,88.0,88.0,65.33,4.4,DQ8992-001
395,2.0,25.0,50.0,58.33,4.0,FD8701-001
396,,,,,,FJ9822-601
397,3.0,,34.0,34.0,2.7,DZ5217-100
398,150.0,52.0,87.0,69.5,4.8,DM3493-002
399,,,,,,
400,114.0,49.0,92.0,47.29,4.6,DC8794-002
401,13.0,,50.0,50.0,4.3,685134-400
402,214.0,35.0,89.0,41.96,4.8,DN1772-108
403,1.0,50.0,100.0,83.33,5.0,FN4182-001
404,,,,,,FJ8890-900
405,2.0,75.0,100.0,87.5,5.0,DV2185-100
406,30.0,100.0,100.0,100.0,4.6,CW4439-011
407,,,,,,DO7433-900
408,17.0,34.0,17.0,25.5,4.1,DQ7605-200
409,0.0,,,,0.0,FB7065-600
410,8.0,50.0,100.0,54.17,5.0,DJ7552-009
411,18.0,14.0,47.0,40.7,3.6,FD0794-700
412,3.0,,,,5.0,DX4260-100
413,,,,,,
414,8.0,25.0,25.0,20.83,3.8,DJ4487-121
415,9.0,34.0,100.0,52.07,5.0,DQ5012-133
416,5.0,40.0,70.0,63.33,4.2,FJ6035-600
417,70.0,,,,4.7,CD5436-100
418,1.0,,,,5.0,DJ4473-170
419,3.0,67.0,84.0,75.5,4.7,DZ2832-200
420,,,,,,CU1724-960
421,12.0,50.0,100.0,63.89,5.0,DJ4702-002
422,1.0,50.0,100.0,83.33,4.0,DZ1725-300
423,2.0,,,,2.0,DX6779-100
424,4.0,50.0,67.0,55.67,4.0,FQ9008-800
425,5.0,50.0,70.0,66.67,4.2,FD5113-400
426,47.0,54.0,97.0,51.04,4.4,DC8892-001
427,81.0,40.0,72.0,38.16,4.2,DV7896-600
428,267.0,49.0,92.0,49.0,4.6,DA7698-004
429,,,,,,
430,20.0,50.0,77.0,63.5,4.3,DH0222-101
431,4.0,50.0,67.0,58.5,4.0,DR9842-400
432,,,,,,FN0569-900
433,21.0,20.0,30.0,21.43,3.9,DZ5648-100
434,16.0,57.0,84.0,57.42,4.9,DX7992-700
435,143.0,47.0,100.0,51.33,4.9,CW9705-200
436,4.0,,,,4.5,BQ3378-100
437,85.0,,,,4.6,DH1270-100
438,,,,,,
439,7.0,50.0,84.0,68.48,4.1,FB9893-300
440,,,,,,DV3907-900
441,61.0,50.0,79.0,59.94,4.3,DZ2616-800
442,,,,,,
443,,,,,,FB2390-900
444,21.0,48.0,84.0,77.33,4.5,DZ3544-200
445,0.0,,,,0.0,FV6148-001
446,49.0,53.0,84.0,47.03,4.3,DC3579-800
447,55.0,50.0,100.0,75.0,4.8,FJ4547-100
448,0.0,,,,0.0,A04955C-101
449,0.0,,,,0.0,FB9149-400
450,,,,,,
451,35.0,25.0,75.0,37.14,4.5,DX5550-700
452,44.0,46.0,80.0,42.76,4.3,DV6841-100
453,70.0,,,,4.9,CZ0775-001
454,32.0,42.0,92.0,45.71,4.9,CV0400-400
455,555.0,50.0,91.0,47.48,4.6,DZ4701-600
456,,,,,,
457,,,,,,
458,19.0,42.0,59.0,50.5,4.5,CT0079-400
459,15.0,27.0,54.0,44.78,3.6,DR0675-300
460,57.0,34.0,84.0,59.0,4.9,DO9458-100
461,462.0,49.0,86.0,45.07,4.7,844994-002
462,,,,,,DZ2794-102
463,,,,,,FN0569-900
464,83.0,43.0,64.0,36.47,4.3,DQ4124-106
465,96.0,25.0,50.0,37.5,4.6,943790-100
466,1.0,50.0,100.0,83.33,5.0,FV5914-010
467,37.0,,50.0,50.0,4.4,CW4440-011
468,3.0,50.0,100.0,83.33,5.0,FD0211-300
469,32.0,,,,4.8,DD0161-100
470,0.0,,,,0.0,FN7999-001
471,0.0,,,,0.0,FD0089-101
472,,,,,,FN6743-900
473,17.0,30.0,47.0,47.24,3.5,DX4220-100
474,37.0,34.0,82.0,45.87,4.2,CT2904-002
475,0.0,,,,0.0,FQ8107-133
476,969.0,39.0,85.0,41.44,4.6,343881-007
477,,,,,,
478,0.0,,,,0.0,FB2200-001
479,0.0,,,,0.0,FB7054-600
480,4.0,25.0,88.0,71.0,4.5,DZ5226-300
481,45.0,50.0,90.0,70.0,4.8,DM9554-900
482,10.0,43.0,65.0,54.0,4.9,FD5088-200
483,18.0,60.0,75.0,67.5,4.5,DO1850-007
484,20.0,70.0,92.0,64.0,4.4,DR0424-001
485,,,,,,HF0004-900
486,,,,,,FB2390-900
487,0.0,,,,0.0,DV9193-001
488,4.0,50.0,100.0,75.0,5.0,DX3313-100
489,408.0,49.0,95.0,48.9,4.7,454350-700
490,75.0,39.0,77.0,40.89,4.3,CZ9907-003
491,128.0,42.0,83.0,41.93,4.6,DC8184-001
492,183.0,42.0,74.0,39.76,4.7,DD6958-001
493,4.0,25.0,75.0,50.0,3.8,DV7898-600
494,,,,,,
495,29.0,19.0,73.0,54.8,4.2,FB2239-002
496,14.0,34.0,17.0,19.38,3.2,BQ9138-001
497,1.0,50.0,100.0,75.0,3.0,FQ6873-101
498,19.0,42.0,79.0,64.89,4.8,DO5047-411
499,,,,,,FJ8893-900
500,,,,,,
501,707.0,47.0,66.0,38.94,4.6,CZ1055-101
502,4.0,38.0,88.0,75.33,4.3,FQ4298-800
503,98.0,50.0,79.0,64.5,4.6,CI1172-601
504,1.0,50.0,100.0,83.33,5.0,FV6079-001
505,15.0,50.0,88.0,69.0,4.7,806561-400
506,32.0,38.0,92.0,45.42,4.6,859550-200
507,0.0,,,,0.0,FB7076-100
508,54.0,59.0,71.0,45.19,4.4,AO3108-006
509,23.0,42.0,61.0,35.78,4.2,685131-004
510,1.0,,100.0,100.0,4.0,397690-018
511,350.0,46.0,68.0,39.05,4.7,DD1391-100
512,0.0,,,,0.0,FJ2596-002
513,,,,,,FB2392-900
514,0.0,,,,0.0,FN4216-001
515,24.0,41.0,80.0,43.11,4.5,DZ2540-600
516,0.0,,,,0.0,FZ3597-133
517,1.0,50.0,100.0,83.33,5.0,FN7196-663
518,,,,,,HF0004-900
519,4.0,50.0,100.0,66.67,5.0,FN7778-600
520,33.0,48.0,80.0,67.92,5.0,FJ4923-008
521,,,,,,DO7433-900
522,2.0,50.0,75.0,75.0,5.0,FQ8899-100
523,112.0,58.0,82.0,48.15,4.6,FD1146-100
524,26.0,,,,4.5,DV1129-101
525,1.0,50.0,100.0,83.33,5.0,FQ8897-252
526,13.0,37.0,78.0,57.5,3.9,AA1204-400
527,7.0,50.0,100.0,59.52,5.0,DR9114-100
528,,,,,,FZ0815-900
529,1.0,,,,5.0,CJ1671-100
530,6.0,75.0,75.0,55.56,3.5,DN4890-700
531,25.0,,,,4.4,CZ6558-110
532,4.0,25.0,63.0,44.0,4.5,DR6402-900
533,0.0,,,,0.0,FQ8889-100
534,20.0,63.0,59.0,55.67,4.0,DZ4135-002
535,134.0,45.0,67.0,37.83,4.7,DO9843-100
536,39.0,47.0,85.0,49.13,4.5,DV7411-400
537,,,,,,DX5048-300
538,8.0,50.0,82.0,77.33,5.0,FD6817-003
539,0.0,,,,0.0,FQ8337-121
540,250.0,34.0,63.0,32.87,4.4,BV2078-100
541,4.0,50.0,100.0,66.67,4.8,DZ7260-400
542,10.0,43.0,65.0,54.0,4.9,FD5088-001
543,150.0,50.0,100.0,50.67,4.8,DV2629-005
544,2.0,50.0,75.0,75.0,5.0,FB2372-100
545,,,,,,FB2392-900
546,0.0,,,,0.0,FN0708-400
547,91.0,,,,4.7,DH3050-100
548,58.0,49.0,78.0,73.94,4.7,FN7105-030
549,0.0,,,,0.0,FD6694-001
550,22.0,50.0,100.0,75.0,4.8,AV3918-102
551,,,,,,
552,16.0,50.0,79.0,47.17,4.4,AQ1779-100
553,0.0,,,,0.0,FJ3448-200
554,4.0,50.0,100.0,58.33,5.0,DQ7688-170
555,1.0,50.0,100.0,75.0,5.0,DV4462-600
556,0.0,,,,0.0,FJ2708-001
